All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                 # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50      N90      auN        L50  L90  # N's per 100 kbp
GCA_040719245.2_NCPPB4602v2_genomic      6                    6                       6                       6                        6                        6                        6319119                 6319119                    6319119                    6319119                     6319119                     6319119                     6          2957468         6319119       58.68   2333875  419340   2294671.9  2    3    0.00             
GCA_041228055.1_NCPPB4692v1_genomic      5                    5                       5                       5                        4                        3                        5579236                 5579236                    5579236                    5579236                     5556246                     5510068                     5          5360179         5579236       63.60   5360179  5360179  5152214.1  1    1    0.00             
GCA_041228085.2_NCPPB935v2_ONT_genomic   1                    1                       1                       1                        1                        1                        5226816                 5226816                    5226816                    5226816                     5226816                     5226816                     1          5226816         5226816       65.47   5226816  5226816  5226816.0  1    1    0.00             
GCA_041228105.1_NCPPB929v1_ONT_genomic   1                    1                       1                       1                        1                        1                        5281458                 5281458                    5281458                    5281458                     5281458                     5281458                     1          5281458         5281458       51.62   5281458  5281458  5281458.0  1    1    0.00             
GCA_041228115.3_NCPPB3728v2_ONT_genomic  3                    3                       3                       3                        3                        2                        5005335                 5005335                    5005335                    5005335                     5005335                     4964378                     3          3258212         5005335       66.38   3258212  1706166  2702841.1  1    2    0.00             
GCA_041463605.1_NCPPB3796v1_ONT_genomic  2                    2                       2                       2                        2                        2                        5055457                 5055457                    5055457                    5055457                     5055457                     5055457                     2          4981726         5055457       64.91   4981726  4981726  4910145.7  1    1    0.00             
GCA_041463615.1_NCPPB3795v1_ONT_genomic  3                    3                       3                       3                        3                        2                        4963467                 4963467                    4963467                    4963467                     4963467                     4929645                     3          4855905         4963467       64.99   4855905  4855905  4751999.9  1    1    0.00             
GCA_041463625.1_NCPPB2372v1_ONT_genomic  3                    3                       3                       3                        2                        1                        4984018                 4984018                    4984018                    4984018                     4961774                     4918520                     3          4918520         4984018       65.03   4918520  4918520  4854357.4  1    1    0.00             
GCA_041463635.1_NCPPB3797v1_ONT_genomic  2                    2                       2                       2                        2                        2                        5058119                 5058119                    5058119                    5058119                     5058119                     5058119                     2          4981740         5058119       64.91   4981740  4981740  4907667.7  1    1    0.00             
GCA_041463645.1_NCPPB3887v1_ONT_genomic  2                    2                       2                       2                        2                        2                        5270109                 5270109                    5270109                    5270109                     5270109                     5270109                     2          5192841         5270109       64.86   5192841  5192841  5117838.7  1    1    0.00             
GCA_041463755.1_NCPPB3886v1_ONT_genomic  2                    2                       2                       2                        2                        2                        5275690                 5275690                    5275690                    5275690                     5275690                     5275690                     2          5198422         5275690       64.85   5198422  5198422  5123417.3  1    1    0.00             
GCA_041464225.1_NCPPB416v1_ONT_genomic   3                    3                       3                       3                        3                        1                        5310583                 5310583                    5310583                    5310583                     5310583                     5228990                     3          5228990         5310583       65.23   5228990  5228990  5149282.0  1    1    0.00             
GCA_041484315.1_NCPPB1939v1_ONT_genomic  1                    1                       1                       1                        1                        1                        5389326                 5389326                    5389326                    5389326                     5389326                     5389326                     1          5389326         5389326       65.93   5389326  5389326  5389326.0  1    1    0.00             
GCA_041486685.1_NCPPB581_v2_ONT_genomic  2                    2                       2                       2                        2                        1                        4994144                 4994144                    4994144                    4994144                     4994144                     4951838                     2          4951838         4994144       64.96   4951838  4951838  4910248.8  1    1    0.00             
GCA_041489455.1_NCPPB3948v1_ONT_genomic  3                    3                       3                       3                        2                        1                        5147669                 5147669                    5147669                    5147669                     5132420                     5095479                     3          5095479         5147669       64.69   5095479  5095479  5044128.4  1    1    0.00             
GCA_041734835.1_NCPPB3727v1_ONT_genomic  4                    4                       4                       4                        4                        2                        5275032                 5275032                    5275032                    5275032                     5275032                     5188200                     4          3574507         5275032       66.41   3574507  1613693  2916550.0  1    2    0.00             
GCA_041734965.1_NCPPB3725v1_ONT_genomic  3                    3                       3                       3                        3                        2                        5276349                 5276349                    5276349                    5276349                     5276349                     5229827                     3          3616149         5276349       66.39   3616149  1613678  2972255.0  1    2    0.00             
